hoa_label,latitude,longitude,legalAcreage,imprvActualYearBuilt,ShapeSTLength,ShapeSTArea,improvementValue,propType,situs_city,compactness,has_sidewalk
1.0,33.259544795368804,-96.97431381191014,0.174,2024.0,363.5935243210989,7660.904023446042,266089.0,R,AUBREY,17.256481809932794,False
1.0,33.02665058075021,-97.33413053464422,0.152,2022.0,338.8379583444931,6542.111864416778,259219.0,R,,17.54955653380588,False
1.0,33.10573128304044,-97.2354555146654,0.132,2016.0,331.7452084111266,5853.271980135759,303421.0,R,ARGYLE,18.802284205694686,True
1.0,33.0550819991568,-96.8594966723318,0.142,2015.0,343.7856582455209,6306.885869423528,489115.0,R,THE COLONY,18.739609573132952,False
1.0,33.04225050609343,-97.3760841857752,0.1362,2022.0,326.232440950536,5842.794115027295,217344.0,R,,18.215190101396843,False
1.0,33.131382287458706,-96.8731912239775,0.15,2014.0,342.3923729555141,6443.976255921026,529627.0,R,FRISCO,18.19257744011535,True
1.0,33.0715711163158,-97.2251315089476,0.1653,2018.0,360.0001708672891,7200.029050326303,545729.0,R,ARGYLE,17.999944461141297,False
1.0,33.03415893894171,-97.378537895965,0.132,2021.0,329.99982941441664,5750.006059827735,271401.0,R,HASLET,18.93909089494188,False
1.0,33.07092177373896,-96.90750235240962,0.2204,2008.0,393.4941585887718,9319.8283290092,573716.0,R,THE COLONY,16.613788084650956,False
1.0,33.22537740469945,-96.9018766726232,0.1492,2005.0,339.4509350775866,6439.972443590125,267298.0,R,AUBREY,17.892458133067997,False
1.0,33.17730104024481,-96.91086186382245,0.1664,2005.0,361.73298788245535,7151.7365897794725,234086.0,R,LITTLE ELM,18.29636101382244,False
1.0,32.99737278283256,-97.36982620535804,0.215,2022.0,406.57159150821207,9368.09271351496,274816.0,R,,17.645049432852893,True
1.0,33.01186795681368,-97.1878662961972,0.1432,2015.0,334.5622139677224,6280.806450617192,473013.0,R,TROPHY CLUB,17.821258447469734,False
1.0,33.18389843568024,-96.89948090212786,0.1708,2005.0,366.6148373714907,7582.026196004095,350093.0,R,LITTLE ELM,17.72698161498834,False
1.0,33.16827993265896,-97.11494076513333,0.143,2018.0,342.1192773930137,6153.639943705923,299550.0,R,DENTON,19.02054735646902,False
1.0,33.26942308441805,-96.96037039481934,0.158,2024.0,347.45994306013995,6772.955077680817,310584.0,R,AUBREY,17.825072017559474,False
1.0,33.01461982485294,-97.26714745930092,0.1263,2015.0,315.3437908390731,5346.973385894695,338764.0,R,ROANOKE,18.59775600961174,False
1.0,33.01450645623354,-97.24968243608252,0.2959,2017.0,490.4949029578021,13200.084714432302,472976.0,R,ROANOKE,18.22603831962836,False
1.0,33.17782136139792,-97.27918343319172,0.158,2016.0,349.10042340767023,6897.766334271347,241397.0,R,PONDER,17.668198619298202,True
1.0,33.13540861437728,-96.90856337279476,0.1582,2012.0,350.6231392739437,6865.055335210836,378201.0,R,FRISCO,17.907588474017704,False
1.0,33.08542774104966,-96.85954582741734,0.1265,2009.0,314.9901188627544,5510.426169880834,323622.0,R,THE COLONY,18.005644558580087,False
1.0,33.19120316450981,-96.96693192440456,0.138,2022.0,335.13276121304415,5998.143730874317,438724.0,R,OAK POINT,18.72478764724564,False
1.0,33.12705734947211,-97.22497319458525,0.188,2023.0,373.3882552621448,8192.482613644375,386030.0,R,Northlake,17.017892590398677,False
1.0,33.07514420530941,-97.20660688994258,0.1788,2017.0,374.6428771730238,7789.304599139168,632080.0,R,ARGYLE,18.019231836432866,True
1.0,33.18374131233824,-96.87253734399624,0.197,2005.0,387.7933247097639,8703.303256136463,409146.0,R,FRISCO,17.27891793077771,False
1.0,33.23748305856195,-97.10175434343893,0.081,2019.0,241.7476101790804,3539.384275076672,214184.0,R,DENTON,16.511885256096026,False
1.0,33.2140010266857,-96.97733425317811,0.0918,2007.0,267.4982154151787,3685.4180018193983,211827.0,R,AUBREY,19.415788172462477,False
1.0,33.14862587550502,-96.9035075576249,0.18,2023.0,345.779212920215,7734.667112346652,568778.0,R,FRISCO,15.458100827231153,False
